"id","product_title","rating","total_rating","price","final_price","ram_gb","storage_gb","bought_in_last_month","brand","screen_size_in_inches","cpu_model","special_features","graphics_card","os"
10,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PBIN","3.8","(56)","41890","35990",8,512,50,"Lenovo","14","Core i3","Anti Glare Coating, HD Audio, Lightweight, Spill Resistant","Integrated","Windows 11 Home"
11,"Lenovo ThinkBook 16, AMD Ryzen 7 7735HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, 1.7kg, 21MWA0AUIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop","3.5","(70)","49990","52990",16,512,200,"Lenovo","16","Ryzen 7","Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight","Integrated","Windows 11 Home"
12,"ASUS TUF A16 (2025), AMD Ryzen 7 7445HS, Gaming Laptop (RTX 4050-6GB/140W TGP/16GB RAM/1TB SSD/FHD+/16""/144Hz/56Whrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mecha Gray/2.2Kg) FA607NUG-RL189WS","4.0","(60)","86990","99990",16,1,50,"ASUS","16","Ryzen 7","144Hz Refresh Rate, 300nits Brightness, Anti-glare display","Dedicated","Windows 11 Home"
13,"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop","4.1","(964)","40990","38490",12,512,500,"HP","396","Core i3 Family","Anti Glare Coating","Integrated","Windows 11 Home"
14,"Dell 15, AMD Ryzen 5-7530U Processor, 16GB RAM, 512GB SSD, FHD IPS 15.6""/39.62 cm 120Hz Display, Windows 11, MSO'24, Platinum Silver, 1.67kg, Standard Keyboard, 15 Month McAfee, Thin & Light Laptop","4.2","(100)","42990","42990",16,512,200,"Dell","156","Ryzen 5","LED-Backlit","Integrated","Windows 11 Home"
15,"HP Smartchoice Victus, AMD Ryzen 5 8645HS, 6GB RTX 3050, 31 Tops, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6""/39.6cm, Win11, M365* Office24, Blue, 2.3kg, fb3009AX, AI Gaming Laptop","3.8","(347)","65990","64990",16,512,300,"HP","396","Ryzen 5","Anti Glare Coating, Micro Edge Display","Dedicated","Windows 11 Home"
16,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg),83K100TEIN","5.0","(1)","72390","74390",24,1,NULL,"Lenovo","153","Intel Core i7","Anti Glare Coating, Backlit Keyboard, HD Audio","Integrated","Windows 11 Home"
17,"ASUS TUF A15 (2025), AMD Ryzen 7 7445HS, Gaming Laptop(RTX 3050,75W TGP,16GB DDR5(Upgradeable Upto 64GB )512GB SSD,FHD,15.6"",144Hz,RGB Keyboard,48Whrs,Windows 11,Graphite Black,2.3 Kg) FA506NCG-HN199W","4.2","(614)","99990","70990",16,512,200,"ASUS","156","AMD Ryzen 7","720P HD camera, Anti-glare display, Backlit Keyboard","Dedicated","Windows 11 Home"
18,"Acer Aspire 3, Intel Core Celeron N4500, 12GB LPDDR4 RAM, 512GB SSD, HD, 14""/35.56cm, Windows 11 Home, Silver, 1.3KG, A324-45, Thin and Light Laptop","3.4","(818)","26490","25990",12,512,100,"acer","14","Others","Thin","Integrated","Windows 11 Home"
19,"Acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop","3.9","(2,071)","34320",NULL,16,512,NULL,"acer","156","Ryzen 5","HD Audio, Lightweight, Numeric Keypad","Integrated","Windows 11 Home"
20,"Lenovo Smartchoice Yoga Slim 7 Aura Edition, Intel Core Ultra 7 258V, 47 Tops, Copilot+ AI PC, 32GB RAM, 1TB SSD, 15""(38.86cm), Windows 11, MS Office Home 2024, Grey, 1.53Kg, 83HM004NIN, AI Laptop","4.2","(48)","114990","165000",32,1,NULL,"Lenovo","15","Intel Core Ultra 7","Anti Glare Coating, Backlit Keyboard, HD Audio","Integrated","Windows 11 Home"
21,"Lenovo ThinkPad E14, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS 14""(35.56cm), Win11 Home, MS Office'24, Graphite Black, 1.42kg, 21M3S0AJ00, 300 Nits, Backlit, Fingerprint, Thin&Light Laptop","3.7","(32)","56501","55688",16,512,50,"Lenovo","14","Ryzen 5","Anti Glare Coating, Backlit Keyboard, Copilot, Fingerprint Reader, HD Audio, Lightweight","Integrated","Windows 11"
24,"acer Aspire Lite, 12th gen, Intel Core i5-12450H Processor, 16 GB, 512GB, 15.6""/39.62 cm, Windows 11 Home, MSO, Pure Silver, 1.70 kg, AL15-52H, Backlit Keyboard","3.9","(668)","48990","48990",16,512,50,"acer","156","Core i5-12450H","Backlit Keyboard, Lightweight, Thin","Integrated","Windows 11 Home"
26,"Lenovo LOQ Intel Core i7-13650HX| NVIDIA RTX 4060 8GB (24GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83DV018LIN AI Gaming Laptop","3.6","(4)","83290","104913",24,512,50,"Lenovo","156","Intel Core i7","Backlit Keyboard, HD Audio","Dedicated","Windows 11 Home"
27,"HP Victus, AMD Ryzen 9-8945HS, 8GB RTX 4060, 16GB RAM (Upgradeable) 1TB SSD, 144Hz, 300nits, IPS, FHD, 15.6""/39.6cm, Win11, M365* Office 24, Blue, 2.29Kg, Backlit, fb3025AX, AI Gaming Laptop","3.8","(347)","103990","99990",16,1,50,"HP","396","Ryzen 9","Anti Glare Coating","Dedicated","Windows 11 Home"
28,"HP Omnibook 5 OLED, Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED, Micro-Edge, 16''/40.6cm, Win11, M365*Office24, Glacier Silver, 1.59kg, fb0001QU, FHD Camera, Backlit, Next-Gen AI Laptop","4.2","(84)","61990","65990",16,1,200,"HP","406","Snapdragon X",NULL,"Integrated","Windows 11 Home"
29,"Primebook 2 Neo 2025 (New Launch) | 6GB RAM, 128GB Storage (Upgradable Upto 512GB) | MediaTek Helio G99 | Android 15 (PrimeOS3.0) | in-Built AI | 11.6” Thin & Light Laptop | Type-C, USB, MicroSD Ports","4.5","(437)","18590","14990",6,128,200,"Primebook","116","MediaTek Helio","Lightweight, Memory Card Slot","Integrated","PrimeOS 3.0"
30,"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, 13th Gen Intel Core i7-1355U, 16GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Platinum Silver","4.4","(494)","68490","72490",16,512,NULL,"Dell","156","Core i7 Family","Anti Glare Coating, Backlit Keyboard, Memory Card Slot, Numeric Keypad","Integrated","Windows 11 Home"
31,"JioBook 11 with Lifetime Office | Android 4G Laptop Mediatek 8788 (JioOS) | Octa-core | 4GB RAM | 64 eMMC Storage | Thin and Light Laptop (11.6 inch, 990 Grams) | Dual Band WiFi + SIM | Blue","3.0","(510)","14990","12900",4,64,50,"JIO","116","Others","4G-LTE & Dual band WiFi, Data sharing with existing Jio Mobile number, Multi-Window Support, Premium SoftMaker Office2024 included for lifetime, Ultra-light and compact < 1kg, Universal compatibilitySee more","Integrated","JioOS"
167,"MSI Thin 15, Intel 13th Gen. i5-13420H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050, GDDR6 6GB/Cosmos Gray/1.86Kg) B13UDX-128IN","4.6","(3)","57990","64800",16,1,NULL,"MSI","40","Core i5",NULL,"Dedicated","Windows 11 Home"
34,"HP 255 G10 Laptop for Home or Work, 16GB RAM DDR5, 512GB SSD, 15.6"" Full HD, Ryzen 3 7335U (Beats Intel i5-1135G7), HDMI, USB-C, Windows 11","3.8","(104)","35870","36990",16,512,500,"HP","156","Ryzen 3","Anti Glare Coating, HD Audio, Memory Card Slot, Numeric Keypad","Integrated","DOS"
35,"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, 8GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Mixed Black, 1.38 kg, E1404FA-NK3325WS, AMD Radeon iGPU, M365 Basic (1Year)*, Thin & Light Laptop","4.1","(211)","30990","33990",8,512,200,"ASUS","14","Ryzen 3","60Hz refresh rate, Anti-glare display","Integrated","Windows 11 Home"
36,"Alienware 16 Area-51 Gaming Laptop, AI Enabled Core Ultra 9 275HX Proc, 64GB DDR5, 2TB SSD, RTX 5090, 24 GB GDDR7 Graphics, 16.0"" WQXGA 240Hz 500 nits Display, Liquid Teal Color, Win 11 + MSO'24,3.4kg","5.0","(1)","499990","484990",64,2,NULL,"Alienware","16","Intel Core Ultra 9","RGB lighting","Dedicated","Windows 11 Home"
37,"Lenovo IdeaPad 1 Intel Celeron N4500, 8GB RAM, 512GB SSD, HD 15.6""(39.6cm), Windows 11, Grey, 1.55Kg, 82LX00F7IN, 3 Month Game Pass Laptop","3.6","(33)","26980","24990",8,512,200,"Lenovo","156","Celeron","Anti Glare Coating, HD Audio, Memory Card Slot","Integrated","Windows 11 Home"
38,"ULTIMUS APEX Laptop Intel Celeron Dual Core 8 GB LPDDR4 512 GB SSD Expandable~1TB 14.1 FHD IPS Laptop Anti-Glare Ultra Thin Bezel 180° Hinge 3.0x3 USB HDMI SD Card Slot Win 11 Home 1.25KG Silver","3.4","(113)","16990","17255",8,512,50,"FUTOPIA","141","Celeron N4020","Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot","Integrated","Window Home 11"
41,"ASUS ROG Strix G16,Intel Core Ultra 9 275HX Gaming Laptop(RTX 5070 Ti -12GB/140W TGP/32GB/1TB/2.5K QHD+/16""/240Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.65 Kg) G615LR-S5190WS","3.8","(16)","229990","259990",32,1,NULL,"ASUS","16","Intel Core Ultra 9","1080P FHD IR Camera for Windows Hello, Anti-glare display, ROG Nebula Display, ROG intelligent coolingSee more","Dedicated","Windows 11 Home"
46,"Acer Aspire Lite, Intel Core i5 13th Gen - 1334U, 16GB RAM, 512GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-53, Metal Body, Thin and Light Premium Laptop","3.8","(115)","46990","45990",16,512,100,"acer","156","Core i5","Thin","Integrated","Windows 11 Home"
47,"HP 15 Laptop, AMD Ryzen 7 7730U (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24,Silver,1.59kg,FHD Camera w/Privacy Shutter, Backlit KB, fc0390AU","4.2","(1,293)","48490","49990",16,512,100,"HP","396","Ryzen 7","Anti Glare Coating, Backlit Keyboard","Integrated","Windows 11 Home"
48,"HP OmniBook 5 Flip, Intel Core 7 150U (16GB LPDDR5,1TB SSD) 2K, Micro-Edge, 300 nits, 14''/35.6cm, Convertible, Win 11, M365, Office 24, Glacier Silver,1.65kg, fp0690TU,Pen,5MP Camera w/Shutter Laptop",NULL,NULL,"99990","86990",16,1,NULL,"HP","14","Intel Core 7","Backlit Keyboard, Micro-Edge Display","Integrated","Windows 11 Home"
49,"HP 15, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) Anti-Glare, Micro-Edge, 15.6''/39.6cm, FHD, Win 11, Office 24, Silver, 1.59kg, fd0467tu, Iris Xe Graphics, FHD Camera, Backlit KB Laptop","3.9","(754)","53990","54990",16,512,NULL,"HP","156","Core i5","Backlit Keyboard, Micro-Edge Display","Integrated","Windows 11 Home"
50,"Dell 15, AMD Ryzen 7-7730U, 16GB DDR4, 512GB SSD, FHD 15.6""/39.6 cm, Windows 11, Office H&S 2024, Platinum Silver, 1.63 Kg, 120Hz 250 nits, AMD Radeon Graphics, Standard Keyboard, Thin & Light Laptop","3.7","(21)","48490","50990",NULL,NULL,NULL,"Dell","156",NULL,"fhd Display",NULL,NULL
51,"Lenovo ThinkBook 16, AMD Ryzen 7 7735HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, Office 2024, 1.7kg, 21MWA0R4IN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop","4.0","(39)","46990","52990",16,512,100,"Lenovo","16","Ryzen 7","Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight","Integrated","Windows 11 Home"
52,"ASUS Vivobook 14, (i5 14th Gen) Intel Core 5 120U, Thin & Light Laptop(16GB RAM/512GB SSD/FHD/14/60Hz/Fingerprint Reader/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.4 Kg) X1404VAP-EB542WS","3.8","(42)","49990","50990",16,512,NULL,"ASUS","14","Intel Core 5","720p HD camera with privacy shutter, Anti-glare display, Backlit Keyboard, Fingerprint Reader","Integrated","Windows 11 Home"
53,"HP Victus, Intel Core i7, 13th Gen-13620H, 6 GB RTX 3050 Gaming Laptop, (16GB DDR4, 512GB SSD) 144Hz,300 nits, IPS, 15.6inch(39.6cm) Win 11, M365* Office24, Blue,2.29kg, Backlit,fa2077tx","3.5","(8)","89990","79999",16,512,NULL,"HP","396","Intel Core 7","Anti Glare Coating, Micro Edge Display","Dedicated","Windows 11 Home"
168,"ASUS ROG Strix G16, AMD Ryzen 9 8940HX Gaming Laptop (RTX 5070 Ti/140W TGP/16GB RAM/1TB SSD/FHD+/16""/165Hz/90WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.5 Kg) G614PR-RV032WS","4.0","(23)","249990","219990",16,1,NULL,"ASUS","16","Ryzen 9","1080P FHD camera, Anti-glare display, ROG intelligent cooling","Dedicated","Windows 11 Home"
56,"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 1TB SSD) FHD, 14''/35.6 cm, Touchscreen 2-in-1, Win 11, Office 21, Silver, 1.51 kg, ek1010TU/1149tu, FPR, 5MP Camera, B&O, Backlit Laptop","3.8","(303)","72990","71990",16,1,50,"HP","356","Core i5","Backlit Keyboard, Edge to edge, FHD, Fingerprint Reader, Micro-Edge Display","Integrated","Windows 11 Home"
58,"Acer Aspire Lite, Intel Core i7 12th Gen - 12650H, 16 GB RAM, 512 GB SSD, Full HD IPS 15.6""/39.62 cm, Windows 11 Home, MS Office, Pure Silver, 1.70 KG, AL15-52H, Backlit Keyboard Laptop","3.9","(663)","52990","56011",16,512,NULL,"acer","156","Intel Core i7","Backlit Keyboard","Integrated","Windows 11 Home"
59,"HP Omen, AMD Ryzen 9 8940HX, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.44kg, ap0181AX, Omen AI, RGB, AI Gaming Laptop","4.0","(318)","147990","150990",24,1,NULL,"HP","16","Ryzen 9","RGB Backlit","Dedicated","Windows 11 Home"
60,"Lenovo ThinkPad E14, Intel Core Ultra 5 225U, 16GB RAM, 512GB SSD, WUXGA IPS 14” (35.56cm), DOS, Black, 1.34Kg, 21SX0086IG, Fingerprint, Backlit, 300 Nits, 3Y Premier Warranty, AI Powered Laptop",NULL,NULL,"72433","72433",16,NULL,NULL,"Lenovo","14","Intel Core Ultra 5",NULL,"Integrated","DOS"
61,"ASUS Vivobook 15, Intel Core i3 13th Gen 1315U, 16GB RAM, 512GB SSD, FHD 15.6"", Touchscreen, Win11, Office Home 2024, M365 Basic (1Year)*, Quiet Blue, 1.7Kg, X1504VA-E83959WS, Intel UHD iGPU, Laptop","4.2","(92)","34990","40990",16,512,100,"ASUS","156","Core i3","45% NTSC color gamut, Anti-glare display","Integrated","Windows 11 Home"
62,"Dell 15, Intel Core i3 13th Gen - 1305U, 16 GB:DDR4 RAM, 512GB, FHD 15.6""/39.6 cm Narrow Border Display, Windows 11, Office H&S 2024, Carbon Grey, Intel UHD Graphics, 1.66 Kg Thin & Light Laptop","3.8","(217)","38490","38990",16,512,200,"Dell","15","Core i3","Spill Resistance Keyboard","Integrated","Windows 11 Home"
63,"Lenovo LOQ, Intel Core i7 14th Gen 14700HX, NVIDIA RTX 5060 8GB, 16GB RAM, 1TB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office 2024, Grey, 2.4Kg, 83JE00U5IN, 572 AI Tops, 3 Mon. Game Pass Gaming Laptop","4.1","(21)","145990","137990",16,1,NULL,"Lenovo","156","Intel Core i7","Backlit Keyboard, HD Audio","Dedicated","Windows 11 Home"
169,"ASUS ROG Strix SCAR 18,Intel Core Ultra 9 275HX Gaming Laptop(NVIDIA RTX 5090-24GB/175W TGP/64GB/2TB/2.5K QHD+/18""/240Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Off Black/3.30 Kg)G835LX-SA187WS","4.1","(9)","484990","449990",64,2,NULL,"ASUS","18","Intel Core Ultra 9","1080P FHD IR Camera for Windows Hello, Anti-glare display, ROG Nebula HDR Display, ROG intelligent coolingSee more","Dedicated","Windows 11 Home"
68,"Lenovo Yoga Slim 7 Intel Core Ultra 7 155H 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB RAM/1TB SSD/AI PC/2Wx4 Speakers/Windows 11/Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00D3IN",NULL,NULL,"114990","102938",32,1,NULL,"Lenovo","14","Intel Core Ultra 7","Anti Glare Coating, Backlit Keyboard, HD Audio","Integrated","Windows 11 Home"
70,"MSI Titan 18 HX AI,Intel Series 2 Core Ultra 9 285HX,46CM UHD+ MiniLED 120Hz Gaming Laptop(96GB/6TB NVMe SSD/Windows 11 Home/GeForce RTX 5090,GDDR7 24GB/Core Black/3.6Kg), A2XWJG-297IN","2.4","(2)","484990","617990",96,6,NULL,"MSI","46","Intel Core Ultra 9","Advanced Cooling System, AI-Enabled Processor, MiniLED Display, Cherry Mechanical Per-Key RGB Gaming KeyboardSee more","Dedicated","Windows 11 Home"
71,"HP 15, AMD Ryzen 3 7320U (8GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc0500AU, FHD Camera w/Privacy Shutter Laptop","4.0","(1,981)","29990","31990",8,512,200,"HP","396","Ryzen 3","Anti Glare Coating","Integrated","Windows 11 Home"
80,"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop","4.1","(563)","55990","52990",16,512,200,"ASUS","156","Core i5","60Hz refresh rate, Anti-glare display","Integrated","Windows 11 Home"
81,"Lenovo Thinkpad P16V Gen 2 21KX002GUS 16"" Mobile Workstation - WUXGA - Intel Core Ultra 9 185H - Vpro Technology - 32 GB - 1 TB SSD - English Keyboard - Black, With Windows 11",NULL,NULL,"251500","299999",32,1,NULL,"Lenovo","16","Intel Core Ultra 9","Anti Glare Coating, Low Blue Light","RTX 3000 Ada Generation","Windows 11 Pro"
83,"acer Aspire Go 14, Intel Core Ultra 5 125H (14th Gen),16GB DDR5 RAM/512GB SSD, WUXGA IPS, 14.0""/35.56 cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M,Backlit Keyboard, AI Powered Premium Laptop","3.5","(117)","57700","52900",16,512,100,"acer","14","Intel Core Ultra 5","Visibly Stunning","Integrated","Windows 11 Home"
86,"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN","4.1","(372)","57200","65990",16,512,200,"Lenovo",NULL,NULL,"Anti Glare Coating, HD Audio, Memory Card Slot","Integrated","Windows 11 Home"
90,"Lenovo IdeaPad 5 2-in-1 Intel Core Ultra 5 225H (16GB RAM/1TB SSD/14 (35.5cm)/WUXGA IPS/AI PC/Windows 11/Office Home 2024/Lenovo Digital Pen 2/1Yr ADP/Grey/1.6Kg), 83KR000HIN Convertible Laptop","3.5","(3)","79990","85400",16,1,NULL,"Lenovo","14","Intel Core Ultra 5","Backlit Keyboard, HD Audio, Lightweight, Support Stylus","Integrated","Windows 11 Home"
91,"HP 15, 13th Gen Intel Core i5-1334U Laptop (12GB DDR4,512GB SSD) Anti-Glare,Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/Privacy Shutter, fd0575TU","3.7","(27)","49999","49990",12,512,NULL,"HP","396","Core i5","Anti Glare Coating, Backlit Keyboard","Integrated","Windows 11 Home"
92,"ASUS ROG Strix G16,Smartchoice, AMD Ryzen 9 8940HX, Gaming Laptop(RTX 5050-8GB/16GB RAM/1TB SSD/FHD+/16""/165Hz/90Whr/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.5 Kg) G614PH-RV033WS","4.1","(20)","116990","139990",16,1000,NULL,"ASUS","16","Ryzen 9","Anti-glare display, ROG intelligent cooling","Dedicated","Windows 11 Home"
94,"ASUS Vivobook Go 14, AMD Ryzen 3 7320U,Thin & Light (AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/14/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Green/1.38 kg) E1404FA-EB666WS","4.1","(202)","31890","31990",8,512,50,"ASUS","14","Ryzen 3","60Hz refresh rate, Anti-glare display","Integrated","Windows 11 Home"
95,"MSI Titan 18 HX AI,Intel Series 2 Core Ultra 9 285HX,46CM UHD+ MiniLED 120Hz Gaming Laptop(64GB/6TB NVMe SSD/Windows 11 Home/GeForce RTX 5090,GDDR6 24GB/Core Black/3.6Kg), A2XWJG-486IN","4.1","(7)","439990","605990",64,6,NULL,"MSI","46","Intel Core Ultra 9",NULL,"Dedicated","Windows 11 Home"
100,"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2100/03/04tx, Gaming Laptop","3.9","(86)","103990","89990",16,512,50,"HP","156","Core i7 Family","Anti Glare Coating, Backlit Keyboard","Dedicated","Windows 11 Home"
101,"Lenovo LOQ AMD Ryzen 7 7435HS| NVIDIA RTX 4050 6GB (16GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JC00MVIN AI Gaming Laptop","4.2","(9)","70475","83290",16,512,100,"Lenovo","156","Ryzen 7","Backlit Keyboard, HD Audio","Dedicated","Windows 11 Home"
102,"Thomson Neo Metallic with Numeric Touch Pad Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) IN-PX14C Thin and Light Laptop (14.1 inch, Silver, 1.30 kg)","2.8","(10)","13490","16490",4,128,NULL,"THOMSON","141","Celeron","Dual Stereo Speaker","Intel® UHD Graphics","Windows 11"
103,"HP Professional 15 (2025), Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" FHD Display/Backlit/Turbo Silver/1.5 kg/MSO 2021","2.1","(5)","51990","52000",16,512,NULL,"HP","156","Core i5","Anti Glare Coating, Backlit Keyboard, HD Audio, Lightweight, Spill Resistant","Integrated","Windows 11 Pro"
104,"Lenovo LOQ, Intel Core i7 14th Gen 14700HX, NVIDIA RTX 5050 8GB, 16GB RAM, 1TB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office 2024, Grey, 2.4Kg, 83JE00U6IN, 440 AI Tops, 3 Mon. Game Pass Gaming Laptop","4.1","(21)","115019","125990",16,1,NULL,"Lenovo","156","Intel Core i7","Backlit Keyboard, HD Audio","Dedicated","Windows 11 Home"
105,"MSI Katana 15, Intel 14th Gen. i7-14650HX, 40CM QHD 165Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 5050, GDDR7 8GB/Black/2.4Kg) B14WEK-266IN","4.4","(7)","134990","114990",16,512,NULL,"MSI","40","Intel Core i7","165Hz Refresh Rate","Dedicated","Windows 11 Home"
106,"Lenovo V15 G4 IRU 15.6"" FHD 13th Gen Laptop, Intel Core i7-13620H, 16GB RAM,512GB SSD Storage, Intel UHD Graphics, Wi-Fi 6, Windows 11 & MS-Office liftime, Iron Grey, 1 Year (12M) Brand Warranty","4.3","(3)","63000","62999",16,16,NULL,"Lenovo","156","Core i7",NULL,"Integrated","Windows 11"
107,"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, M365 Basic (1Year)*, Black, 1.38kg, E1404FA-EB2542WS, AMD Radeon iGPU, 42WHrs, Thin & Light Laptop","3.9","(129)","40813","40990",16,512,NULL,"ASUS","14","Ryzen 5","60Hz refresh rate, Anti-glare display","Integrated","Windows 11 Home"
109,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD)| 15.6"" Full HD Screen | Intel i5 14th Gen 120U Processor |Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics |RJ45 LAN Port","3.7","(20)","72990","62990",16,512,NULL,"Samsung","156","Intel Core 5","Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad","Integrated","Windows 11 Home"
110,"Dell 15 Intel Core i5 13th Gen - 1334U, 16GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'24, Grey, 1.66kg, 120Hz 250 nits Display, 15 Month McAfee, Thin & Light Laptop","3.7","(468)","58490","53990",16,512,50,"Dell","156","Core i5","10 Key Numeric Pad","Integrated","Windows 11 Home"
111,"ASUS Vivobook 14,Intel Core i3-1315U Processor, (8GB RAM/512GB SSD/14 FHD (1920 x 1080)/Win 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.40 kg), X1404VA-NK760WS","3.9","(441)","34990","34990",8,512,NULL,"ASUS","14","Core i3","60Hz refresh rate, Anti-glare display","Integrated","Windows 11 Home"
112,"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop","4.0","(1,746)","64990","64990",16,1,200,"HP","156","Intel Core Ultra 5","Anti Glare Coating, Backlit Keyboard","Integrated","Windows 11 Home"
113,"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 8GB RAM, 512GB SSD, FHD 14""(1920 x 1080), Windows 11, Office Home 2024, M365 Basic (1Year)*, Black, 1.38kg, E1404FA-EB2522WS, AMD Radeon iGPU Laptop","5.0","(3)","40990","36892",8,512,NULL,"ASUS","14","Ryzen 5","60Hz refresh rate, Anti-glare display","Integrated","Windows 11 Home"
