"id","product_title","rating","total_rating","price","final_price","ram_gb","storage_gb","bought_in_last_month","brand","screen_size_in_inches","cpu_model","special_features","graphics_card","os"
139,"Acer Aspire Lite, 13th Gen, Intel Core i3-1305U, 8GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop","3.9","(582)","29999","33938",8,512,50,"acer","156","Core i3","Thin","Integrated","Windows 11 Home"
140,"HP OmniBook Ultra Flip Next Gen AI PC Ultra 7 (32GB RAM/1TB SSD/2.8K OLED 16:10 90% STBR Touchscreen 500 nits/Windows 11/9MP Camera/Poly Studio/Backlit KB/MSO/14” (35.6cm)/Gray/1.34kg) fh0029TU Laptop",NULL,NULL,"180490","192245",32,1,NULL,"HP","14","Intel Core Ultra 7","Thin","Integrated","Windows"
144,"Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 15” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 16GB RAM - 1TB SSD - Graphite - ZYT-00048","4.2","(3)","150990","178990",16,1,NULL,"Microsoft","15","Snapdragon","HD Audio","Integrated","Windows 11 Home"
145,"MSI Stealth 16 Studio, Intel 13th Gen. i7-13700H, 41CM QHD+ 240Hz Gaming Laptop (32GB/1TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4070, 8GB GDDR6/Pure White/1.99Kg), A13VG-030IN",NULL,NULL,"204279",NULL,32,1,NULL,"MSI","41","Intel Core i7","Built-in Microphone","Dedicated","Windows 11 Home"
146,"HP Omen, 14th Gen Intel Core i9-14900HX, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0279TX, RGB, Gaming Laptop","3.1","(6)","142976","164990",24,1,NULL,"HP","16","Intel Core i9","RGB Backlit","Dedicated","Windows 11 Home"
147,"ASUS TUF F16,14th Gen,Intel Core i7 14650HX,Gaming Laptop(RTX 5070-8GB/115W TGP/32GB/1TB /2.5K QHD+/16""/165Hz/90WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Jaeger Gray/2.2 Kg)FX688JPR-QT043WS","4.4","(4)","139990","169990",32,1,NULL,"ASUS","16","Intel Core i7","Anti-glare display","Dedicated","Windows 11 Home"
148,"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz,300 nits,IPS, 15.6''/39.6cm, FHD, Win11, Office24, Mica Silver, 2,29kg, Backlit Kb,HD Camera,fa2701TX","5.0","(1)","89990","76490",16,512,NULL,"HP","396","Core i5","Anti Glare Coating, Micro Edge Display","Dedicated","Windows 11 Home"
149,"HP 14, Intel Core Ultra 5 125H (16GB DDR5, 512GB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1150TU, FHD Camera, Backlit Laptop","1.0","(1)","65990","66210",16,512,NULL,"HP","356","Intel Core Ultra 5","Anti Glare Coating, Backlit Keyboard","Integrated","Windows 11 Home"
151,"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11/Arctic Grey/1.65 Kg), 82YU00W7IN","4.0","(21)","31990","31999",8,512,NULL,"Lenovo","156","Ryzen 3","Anti Glare Coating, Thin","Integrated","Windows 11 Home"
152,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN","4.0","(2,488)","37600","32870",8,512,NULL,"Lenovo","156","Ryzen 5","HD Audio","Integrated","Windows 11 Home"
156,"Acer ALG, Intel Core i7-13th Gen 13620H Processor, NVIDIA GeForce RTX 3050 6GB(16GB/1TB) FHD, 15.6""/39.62 cm, 144Hz, Win 11 Home, Steel Gray, 1.99kg, AL15G-53, Backlit Keyboard, Gaming Laptop","3.5","(92)","73490","69999",16,1,NULL,"acer","156","Core i7","HD Audio, Memory Card Slot, Numeric Keypad","Dedicated","Windows 11 Home"
157,"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Iron Grey,1.6kg, 1 Year Onsite Brand Warranty","4.1","(21)","46980","48890",8,512,NULL,"Lenovo","14","Core i5","Fhd Display, Spill Resistant, Ssd Storage, Thin, Windows 11","Integrated","Windows 11 Home"
158,"MSI Katana 15, Intel 13th Gen. i7-13620H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4050, GDDR6 6GB/Black/2.5Kg) B13VEK-2432IN","3.8","(6)","114990","94990",16,NULL,NULL,"MSI","40","Core i7",NULL,"Dedicated","Windows 11 Home"
159,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD IPS, 15.6""/39.6cm, Windows 11, MSOffice 21, Grey, 1.6Kg, 83ER008DIN, Intel UHD Graphics, Backlit KB,1 Yr ADP Free Laptop","4.0","(127)","49690","50100",16,512,NULL,"Lenovo","156","Core i5","HD Audio","Integrated","Windows 11 Home"
160,"Dell Inspiron 3530, Intel Core i5-1334U, 13th Gen, 16GB RAM, 512 SSD, FHD, 15.6""/39.62cm, Windows 11, MS Office 24, Black, 1.62KG, McAfee 15 Month, Thin & Light Laptop","3.5","(23)","48591","53075",16,512,NULL,"Dell","156","Core i5","MS OFFICE, Numeric Keypad, WIndows 11","Integrated","Windows 11 Home"
161,"Samsung Galaxy Book2 Pro Intel 12th Gen i7 EvoTM 33.78cm (13.3"") AMOLED Thin & Light Laptop (16 GB/512 GB SSD/Windows 11/MS Office/Backlit KB/Fingerprint Sensor/Silver/0.87Kg), NP930XED-KB2IN","3.6","(64)","100990","83989",16,NULL,NULL,"Samsung","133","Core i7","Anti Glare Coating, Backlit Keyboard, Fingerprint Reader","Integrated","Windows 11 Home"
162,"Lenovo 14 (2025), Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/MSO 2021","4.0",NULL,"33999","35890",8,512,NULL,"Lenovo","14","Core i3","Anti Glare Coating, HD Audio, Lightweight","Integrated","Windows 11 Pro"
163,"HP 15 (Fingerprint, Metal ID,Backlit KB Laptop) Intel 13th Gen Core i5-1334U (16GB DDR4 Ram,512GB SSD) 15.6''/39.6cm,FHD,Win11, M365 Basic(1yr),Office Home24,Silver,1.59kg,Iris Xe,FHD Camera hr0008TU","3.8","(269)","52490","54999",16,512,NULL,"HP","156","Core i5","Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Micro-edge","Integrated","Windows 11 Home"
164,"ASUS Vivobook 16X 13th Gen,Intel Core i5-13420H Creator/Gaming Laptop(NVIDIA RTX 3050-4GB/16GB/512GB/FHD+/16.0""/144Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Indie Black/1.67 kg)K3605VC-RP412WS","3.6","(346)","73990","65990",16,512,NULL,"ASUS","16",NULL,"Backlit Keyboard, Num-key","Dedicated","Windows 11 Home"
170,"ASUS Zenbook S16, AMD Ryzen AI 7 Octa Core 350, 24GB,1TB,AMD Radeon iGPU,16"" Touch Screen, 3K OLED, Windows 11,M365 Basic(1Year)*,Office 2024,Scandinavian White,1.5 Kg,UM5606KA-RJ108WS, Copilot+ AI PC","3.7","(7)","139990","134990",24,1,NULL,"ASUS","16","AMD Ryzen 7","500nits HDR peak brightness, Backlit Keyboard, Lightweight, Precision touchpad, Touch screen Display","Integrated","Windows 11 Home"
171,"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Silver","4.7","(966)","119490","94990",16,256,100,"Apple","136","Apple M4","Backlit Keyboard, Fingerprint Reader","Integrated","Mac OS"
